iter	Logloss
0	0.656598877
1	0.6274140015
2	0.6019628906
3	0.5837485352
4	0.5647739258
5	0.5487809448
6	0.5336408691
7	0.5188101807
8	0.5078757019
9	0.4992583618
10	0.4913653259
11	0.4843669434
12	0.4775595093
13	0.4701037598
14	0.4636474609
15	0.4579664001
16	0.4536889648
17	0.4483342285
18	0.4441608276
19	0.4400404358
20	0.4366401062
21	0.4339645996
22	0.4304971313
23	0.427400177
24	0.4252832642
25	0.423949707
26	0.4223091736
27	0.420712738
28	0.4185334167
29	0.4172609253
30	0.415690033
31	0.414344696
32	0.4125059814
33	0.4111393433
34	0.4093049622
35	0.4083432007
36	0.4077249146
37	0.406645874
38	0.4055066833
39	0.4045670166
40	0.4035864868
41	0.4030802307
42	0.4024039917
43	0.4014345703
44	0.4005383911
45	0.3996126709
46	0.3991390381
47	0.3985822144
48	0.3979424133
49	0.3975422974
50	0.3969888
51	0.3964275208
52	0.3960126343
53	0.3953803711
54	0.3947276001
55	0.3944360962
56	0.3939971313
57	0.3935828247
58	0.3931075439
59	0.3926204224
60	0.3921227722
61	0.3917763062
62	0.3912412109
63	0.3906898499
64	0.3903370361
65	0.3899147339
66	0.3896309204
67	0.3891543579
68	0.3886253967
69	0.3879590454
70	0.3875041199
71	0.3871359253
72	0.3866321716
73	0.3861576538
74	0.3858374634
75	0.3854819641
76	0.3851700439
77	0.384737793
78	0.3845377502
79	0.3841486511
80	0.3837093506
81	0.3832502441
82	0.3828400269
83	0.3825357666
84	0.3821170654
85	0.3817026062
86	0.3812929382
87	0.3809237976
88	0.3805451965
89	0.380137085
90	0.3796149597
91	0.3791936646
92	0.3787469177
93	0.3783304443
94	0.3781060181
95	0.3778276062
96	0.3775947266
97	0.3772386169
98	0.3770111694
99	0.3765107727
100	0.376192688
101	0.3758802795
102	0.3754850464
103	0.3752658997
104	0.3748818054
105	0.3746050415
106	0.3741755981
107	0.3738994446
108	0.3736958008
109	0.3734564209
110	0.3731660156
111	0.3729993286
112	0.3725362549
113	0.3721175537
114	0.3718336487
115	0.371619751
116	0.3712298584
117	0.3707563477
118	0.3703132935
119	0.369968811
120	0.3698065491
121	0.3694934082
122	0.369085144
123	0.3686184692
124	0.3682835083
125	0.3679803467
126	0.3675973511
127	0.3673779297
128	0.3671792908
129	0.3669146729
130	0.3664277344
131	0.3661953125
132	0.3659679565
133	0.3656465149
134	0.3653498535
135	0.3649505615
136	0.3646852417
137	0.3643963623
138	0.3639937744
139	0.3637655029
140	0.3633666687
141	0.3629656677
142	0.3627386475
143	0.3625254517
144	0.362236145
145	0.3617825317
146	0.361375885
147	0.3611218872
148	0.3605932007
149	0.359996582
150	0.3597340088
151	0.3595153809
152	0.3591578064
153	0.3588345337
154	0.3584721069
155	0.3580285034
156	0.3577846069
157	0.3574384766
158	0.3571366882
159	0.3567613831
160	0.3563049316
161	0.3559847412
162	0.3556887817
163	0.3553814087
164	0.3551109924
165	0.354850769
166	0.3544142456
167	0.3539771118
168	0.3537065125
169	0.3533511963
170	0.3528754272
171	0.3525088501
172	0.3522315369
173	0.3518958435
174	0.3516472778
175	0.3512843628
176	0.350899353
177	0.3506302185
178	0.3503924561
179	0.3500075378
180	0.3497587891
181	0.3494085083
182	0.3488070984
183	0.3483473206
184	0.3480583496
185	0.3476592407
186	0.3472076416
187	0.3467246704
188	0.3463694458
189	0.3460067139
190	0.34572052
191	0.3453033142
192	0.3448623962
193	0.3446326294
194	0.3441903992
195	0.3438255615
196	0.34348172
197	0.3432868958
198	0.3429033203
199	0.342559021
