iter	Passed	Remaining
0	151	30155
1	161	16018
2	171	11249
3	181	8872
4	190	7448
5	200	6485
6	208	5759
7	216	5189
8	223	4737
9	230	4384
10	237	4083
11	244	3833
12	251	3622
13	258	3440
14	265	3278
15	273	3142
16	280	3014
17	286	2901
18	294	2801
19	300	2708
20	313	2672
21	321	2597
22	327	2523
23	335	2457
24	342	2395
25	349	2337
26	356	2282
27	363	2230
28	370	2182
29	376	2135
30	384	2093
31	390	2052
32	398	2014
33	405	1978
34	412	1945
35	419	1911
36	426	1880
37	433	1848
38	441	1823
39	448	1795
40	457	1773
41	464	1746
42	471	1721
43	478	1695
44	485	1672
45	492	1648
46	499	1625
47	506	1602
48	512	1580
49	520	1560
50	526	1539
51	534	1519
52	540	1499
53	547	1481
54	554	1462
55	561	1445
56	569	1427
57	576	1411
58	583	1394
59	590	1377
60	597	1361
61	604	1345
62	611	1330
63	618	1313
64	625	1299
65	632	1284
66	640	1270
67	647	1256
68	654	1242
69	661	1228
70	668	1214
71	675	1201
72	682	1187
73	689	1174
74	696	1161
75	703	1148
76	710	1134
77	717	1122
78	724	1109
79	731	1097
80	738	1085
81	745	1073
82	753	1061
83	759	1049
84	766	1037
85	773	1025
86	780	1014
87	787	1002
88	796	993
89	808	988
90	821	984
91	830	975
92	838	964
93	845	953
94	852	942
95	859	931
96	866	919
97	873	909
98	880	897
99	887	887
100	894	876
101	901	866
102	908	855
103	915	845
104	922	834
105	929	823
106	937	814
107	944	804
108	951	794
109	958	784
110	966	775
111	973	765
112	980	755
113	987	745
114	995	735
115	1002	725
116	1009	715
117	1016	706
118	1023	696
119	1030	686
120	1037	677
121	1045	668
122	1051	658
123	1058	649
124	1065	639
125	1072	630
126	1079	620
127	1089	612
128	1096	603
129	1103	594
130	1110	584
131	1117	575
132	1124	566
133	1131	557
134	1138	548
135	1145	539
136	1152	530
137	1159	520
138	1166	511
139	1173	502
140	1180	493
141	1187	484
142	1194	476
143	1201	467
144	1208	458
145	1215	449
146	1222	440
147	1229	431
148	1236	423
149	1243	414
150	1250	405
151	1257	397
152	1264	388
153	1271	379
154	1278	371
155	1290	363
156	1297	355
157	1305	346
158	1311	338
159	1319	329
160	1326	321
161	1333	312
162	1340	304
163	1347	295
164	1354	287
165	1360	278
166	1367	270
167	1374	261
168	1381	253
169	1388	245
170	1396	236
171	1402	228
172	1409	220
173	1417	211
174	1424	203
175	1430	195
176	1437	186
177	1446	178
178	1453	170
179	1460	162
180	1467	153
181	1474	145
182	1481	137
183	1488	129
184	1495	121
185	1502	113
186	1509	104
187	1516	96
188	1523	88
189	1530	80
190	1537	72
191	1544	64
192	1551	56
193	1558	48
194	1565	40
195	1572	32
196	1579	24
197	1586	16
198	1593	8
199	1600	0
