season,home_team,away_team,home_score,away_score,home_win
2024,BUF,ARI,34,28,1
2024,MIA,BUF,10,31,0
2024,BUF,JAX,47,10,1
2024,BAL,BUF,35,10,1
2024,HOU,BUF,23,20,1
2024,NYJ,BUF,20,23,0
2024,BUF,TEN,34,10,1
2024,SEA,BUF,10,31,0
2024,BUF,MIA,30,27,1
2024,IND,BUF,20,30,0
2024,BUF,KC,30,21,1
2024,BUF,SF,35,10,1
2024,LAR,BUF,44,42,1
2024,DET,BUF,42,48,0
2024,BUF,NE,24,21,1
2024,BUF,NYJ,40,14,1
2024,NE,BUF,23,16,1
2025,BUF,BAL,41,40,1
2025,NYJ,BUF,10,30,0
2025,BUF,MIA,31,21,1
2025,BUF,NO,31,19,1
2025,BUF,NE,20,23,0
2025,ATL,BUF,24,14,1
2025,CAR,BUF,9,40,0
2025,BUF,KC,28,21,1
2025,MIA,BUF,30,13,1
2025,BUF,TB,44,32,1
2025,HOU,BUF,23,19,1
2025,PIT,BUF,7,26,0
2025,BUF,CIN,39,34,1
2025,NE,BUF,31,35,0
2025,CLE,BUF,20,23,0
2025,BUF,PHI,12,13,0
2025,BUF,NYJ,35,8,1
2024,MIA,JAX,20,17,1
2024,SEA,MIA,24,3,1
2024,MIA,TEN,12,31,0
2024,NE,MIA,10,15,0
2024,IND,MIA,16,10,1
2024,MIA,ARI,27,28,0
2024,LAR,MIA,15,23,0
2024,MIA,LV,34,19,1
2024,MIA,NE,34,15,1
2024,GB,MIA,30,17,1
2024,MIA,NYJ,32,26,1
2024,HOU,MIA,20,12,1
2024,MIA,SF,29,17,1
2024,CLE,MIA,3,20,0
2024,NYJ,MIA,32,20,1
2025,IND,MIA,33,8,1
2025,MIA,NE,27,33,0
2025,MIA,NYJ,27,21,1
2025,CAR,MIA,27,24,1
2025,MIA,LAC,27,29,0
2025,CLE,MIA,31,6,1
2025,ATL,MIA,10,34,0
2025,MIA,BAL,6,28,0
2025,MIA,WSH,16,13,1
2025,MIA,NO,21,17,1
2025,NYJ,MIA,10,34,0
2025,PIT,MIA,28,15,1
2025,MIA,CIN,21,45,0
2025,MIA,TB,20,17,1
2025,NE,MIA,38,10,1
2024,CIN,NE,10,16,0
2024,NE,SEA,20,23,0
2024,NYJ,NE,24,3,1
2024,SF,NE,30,13,1
2024,NE,HOU,21,41,0
2024,JAX,NE,32,16,1
2024,NE,NYJ,25,22,1
2024,TEN,NE,20,17,1
2024,CHI,NE,3,19,0
2024,NE,LAR,22,28,0
2024,NE,IND,24,25,0
2024,ARI,NE,30,17,1
2024,NE,LAC,7,40,0
2025,NE,LV,13,20,0
2025,NE,PIT,14,21,0
2025,NE,CAR,42,13,1
2025,NO,NE,19,25,0
2025,TEN,NE,13,31,0
2025,NE,CLE,32,13,1
2025,NE,ATL,24,23,1
2025,TB,NE,23,28,0
2025,NE,NYJ,27,14,1
2025,CIN,NE,20,26,0
2025,NE,NYG,33,15,1
2025,BAL,NE,24,28,0
2025,NYJ,NE,10,42,0
2024,SF,NYJ,32,19,1
2024,TEN,NYJ,17,24,0
2024,NYJ,DEN,9,10,0
2024,MIN,NYJ,23,17,1
2024,PIT,NYJ,37,15,1
2024,NYJ,HOU,21,13,1
2024,ARI,NYJ,31,6,1
2024,NYJ,IND,27,28,0
2024,NYJ,SEA,21,26,0
2024,JAX,NYJ,25,32,0
2024,NYJ,LAR,9,19,0
2025,NYJ,PIT,32,34,0
2025,TB,NYJ,29,27,1
2025,NYJ,DAL,22,37,0
2025,NYJ,DEN,11,13,0
2025,NYJ,CAR,6,13,0
2025,CIN,NYJ,38,39,0
2025,NYJ,CLE,27,20,1
2025,BAL,NYJ,23,10,1
2025,NYJ,ATL,27,24,1
2025,JAX,NYJ,48,20,1
2025,NO,NYJ,29,6,1
2024,KC,BAL,27,20,1
2024,BAL,LV,23,26,0
2024,DAL,BAL,25,28,0
2024,CIN,BAL,38,41,0
2024,BAL,WSH,30,23,1
2024,TB,BAL,31,41,0
2024,CLE,BAL,29,24,1
2024,BAL,DEN,41,10,1
2024,BAL,CIN,35,34,1
2024,PIT,BAL,18,16,1
2024,LAC,BAL,23,30,0
2024,BAL,PHI,19,24,0
2024,NYG,BAL,14,35,0
2024,BAL,PIT,34,17,1
2024,HOU,BAL,2,31,0
2024,BAL,CLE,35,10,1
2025,BAL,CLE,41,17,1
2025,BAL,DET,30,38,0
2025,KC,BAL,37,20,1
2025,BAL,HOU,10,44,0
2025,BAL,LAR,3,17,0
2025,BAL,CHI,30,16,1
2025,MIN,BAL,19,27,0
2025,CLE,BAL,16,23,0
2025,BAL,CIN,14,32,0
2025,BAL,PIT,22,27,0
2025,CIN,BAL,0,24,0
2025,GB,BAL,24,41,0
2025,PIT,BAL,26,24,1
2024,KC,CIN,26,25,1
2024,CIN,WSH,33,38,0
2024,CAR,CIN,24,34,0
2024,NYG,CIN,7,17,0
2024,CLE,CIN,14,21,0
2024,CIN,PHI,17,37,0
2024,CIN,LV,41,24,1
2024,LAC,CIN,34,27,1
2024,CIN,PIT,38,44,0
2024,DAL,CIN,20,27,0
2024,TEN,CIN,27,37,0
2024,CIN,CLE,24,6,1
2024,CIN,DEN,30,24,1
